gvkey,conm,tic,sic,naics,linkprim,liid,linktype,linkid,lpermno,lpermco,USEDFLAG,linkdt,linkenddt,GSECTOR,GGROUP,GIND,GSUBIND,SPCINDCD,SPCSECCD
002504,UNISYS CORP,UIS,7373,541512,P,01,LU,1,10890,21814,1,19620131,E,45,4510,451020,45102010,185,940
002504,UNISYS CORP,UIS,7373,541512,C,00X,LU,0,10890,21814,1,19500101,19620130,45,4510,451020,45102010,185,940
002536,ACXIOM CORP,ACXM,7374,518210,P,01,LU,1,20117,6702,1,19840131,E,45,4510,451020,45102010,456,976
002547,CIGNA CORP,CI,6324,524114,P,01,LC,2,59221,857,1,19721214,19820331,35,3510,351020,35102030,287,905
002547,CIGNA CORP,CI,6324,524114,P,01,LC,4,64186,20357,1,19820420,E,35,3510,351020,35102030,287,905
002558,CNA FINANCIAL CORP,CNA,6331,524126,P,01,LC,1,47626,20363,1,19720131,E,40,4030,403010,40301040,835,800
002558,CNA FINANCIAL CORP,CNA,6331,524126,C,00X,LC,0,47626,20363,1,19720101,19720130,40,4030,403010,40301040,835,800
002574,CSX CORP,CSX,4011,482111,P,01,LC,4,62148,20370,1,19801113,E,20,2030,203040,20304010,610,600
002574,CSX CORP,CSX,4011,482111,P,01,LN,1,22410,23143,-1,19620131,19670730,20,2030,203040,20304010,610,600
002574,CSX CORP,CSX,4011,482111,P,01,LC,2,22410,23143,1,19670731,19801031,20,2030,203040,20304010,610,600
002574,CSX CORP,CSX,4011,482111,C,00X,LN,0,22410,23143,-1,19570101,19620130,20,2030,203040,20304010,610,600
002577,CTS CORP,CTS,3679,334418,P,01,LU,2,28564,20371,1,19620604,E,45,4520,452030,45203020,357,925
002593,CABOT CORP,CBT,2890,325182,P,01,LU,2,46690,20374,1,19680823,E,15,1510,151010,15101020,160,970
002596,CACI INTL INC  -CL A,CACI,7373,541512,P,01,LU,1,20512,727,1,19790330,E,45,4510,451020,45102010,454,940
002616,SCIOS INC,SCIO,5122,424210,P,01,LU,1,20678,6527,1,19831026,20030430,35,3520,352010,35201010,280,905
002620,UNIONBANCAL CORP,UB,6020,522110,P,01,LC,1,20694,841,1,19880129,E,40,4010,401010,40101015,817,800
002620,UNIONBANCAL CORP,UB,6020,522110,C,00X,LC,0,20694,841,1,19880101,19880128,40,4010,401010,40101015,817,800
002663,CAMPBELL SOUP CO,CPB,2030,311422,P,01,LU,1,25320,20384,1,19620131,E,30,3020,302020,30202030,250,978
002710,CONSTELLATION BRANDS,STZ,2084,312130,J,02,LC,3,69796,1015,1,19860714,19930831,30,3020,302010,30201020,140,978
002710,CONSTELLATION BRANDS,STZ,2084,312130,J,01,LC,2,64899,1015,1,19930901,E,30,3020,302010,30201020,140,978
002710,CONSTELLATION BRANDS,STZ,2084,312130,P,01,LC,1,64899,1015,1,19730228,19930831,30,3020,302010,30201020,140,978
002710,CONSTELLATION BRANDS,STZ,2084,312130,P,02,LC,4,69796,1015,1,19930901,E,30,3020,302010,30201020,140,978
002731,PROVIDIAN FINANCIAL CORP,PVN,6020,522110,P,01,LC,1,85073,32010,1,19970613,20050930,40,4020,402020,40202010,845,800
002751,CARDINAL HEALTH INC,CAH,5122,424210,P,01,LC,1,21371,6262,1,19830804,E,35,3510,351020,35102010,217,978
002771,CARLISLE COS INC,CSL,9997,999977,P,01,LU,1,27334,20392,1,19620131,E,20,2010,201050,20105010,355,925
002783,PROGRESS ENERGY INC,PGN,4911,22111,C,00X,LU,0,23114,20397,1,19510101,19620130,55,5510,551010,55101010,705,700
002783,PROGRESS ENERGY INC,PGN,4911,22111,P,01,LU,1,23114,20397,1,19620131,E,55,5510,551010,55101010,705,700
002787,CARPENTER TECHNOLOGY CORP,CRS,3312,331111,C,00X,LU,0,20618,20398,1,19490701,19620130,15,1510,151040,15104050,460,970
002787,CARPENTER TECHNOLOGY CORP,CRS,3312,331111,P,01,LU,1,20618,20398,1,19620131,E,15,1510,151040,15104050,460,970
002807,CASEYS GENERAL STORES INC,CASY,5500,447110,P,01,LU,1,21742,6515,1,19831020,E,30,3010,301010,30101030,449,976
002817,CATERPILLAR INC,CAT,3531,333120,P,01,LU,1,18542,20408,1,19620131,E,20,2010,201060,20106010,345,925
002817,CATERPILLAR INC,CAT,3531,333120,C,00X,LU,0,18542,20408,1,19500101,19620130,20,2010,201060,20106010,345,925
002818,CATO CORP  -CL A,CTR,5621,448120,C,01,LU,1,11267,9117,1,19870422,E,25,2550,255040,25504010,452,976
002845,CENTEX CORP,CTX,1531,236117,P,01,LU,2,53831,20413,1,19711228,E,25,2520,252010,25201030,305,976
002849,COMPASS BANCSHARES INC,CBSS,6020,522110,C,00X,LC,0,22032,780,1,19780101,19780130,40,4010,401010,40101015,817,800
002849,COMPASS BANCSHARES INC,CBSS,6020,522110,P,01,LU,1,22032,780,1,19780131,20070928,40,4010,401010,40101015,817,800
002856,CH ENERGY GROUP INC,CHG,4931,22111,P,01,LU,1,22437,20416,1,19620131,E,55,5510,551030,55103010,705,700
002856,CH ENERGY GROUP INC,CHG,4931,22111,C,00X,LU,0,22437,20416,1,19510101,19620130,55,5510,551030,55103010,705,700
002859,CLECO CORP,CNL,4911,22111,C,01,LC,5,46623,5140,1,19680815,19771230,55,5510,551010,55101010,705,700
002859,CLECO CORP,CNL,4911,22111,C,01,LC,4,64557,5140,1,19811102,E,55,5510,551010,55101010,705,700
002884,CENTURYTEL INC,CTL,4813,517110,P,01,LC,2,60599,20421,1,19721214,E,50,5010,501010,50101020,715,974
